us,rpm
1110,1807.228916
1111,1875
1115,2090.592334
1120,2343.75
1150,3592.814371
1200,5128.205128
1250,6122.44898
1300,6666.666667
1350,7228.915663
1400,7594.936709
1450,7894.736842
1500,8333.333333
1550,8571.428571
1600,8571.428571
1650,8571.428571
1700,8571.428571
1750,8571.428571
1800,8571.428571
1850,8571.428571
1900,8571.428571
1950,8571.428571
2000,8571.428571
