us,rpm
1110,422.5352113
1120,674.1573034
1130,923.0769231
1140,1136.363636
1150,1388.888889
1200,2857.142857
1250,3370.786517
1300,3896.103896
1350,4285.714286
1400,4545.454545
1450,4838.709677
1500,5263.157895
1550,5263.157895
1600,5263.157895
1650,5263.157895
1700,5263.157895
1750,5263.157895
1800,5309.734513
1850,5309.734513
1900,5309.734513
1950,5309.734513
2000,5309.734513
