Tiempo,periodo,rpm
0.37,0.1515,396.03960396039605
0.656,0.1005,597.0149253731342
0.782,0.08849999999999997,677.9661016949156
0.886,0.08149999999999999,736.196319018405
0.976,0.07700000000000001,779.220779220779
1.058,0.07400000000000001,810.8108108108107
1.136,0.07100000000000001,845.0704225352112
1.212,0.0685,875.912408759124
1.284,0.0665,902.2556390977443
1.354,0.0645,930.2325581395348
1.42,0.0625,960.0
1.486,0.0605,991.7355371900827
1.55,0.059,1016.949152542373
1.612,0.056999999999999995,1052.6315789473686
1.67,0.055999999999999994,1071.4285714285716
1.728,0.05399999999999999,1111.1111111111113
1.786,0.05199999999999999,1153.846153846154
1.84,0.050499999999999934,1188.1188118811897
1.894,0.04850000000000004,1237.1134020618545
1.944,0.04749999999999999,1263.1578947368425
1.994,0.045999999999999985,1304.347826086957
2.042,0.04500000000000004,1333.3333333333321
2.088,0.044499999999999984,1348.3146067415735
2.134,0.04349999999999998,1379.3103448275867
2.178,0.04249999999999998,1411.7647058823536
2.222,0.04149999999999998,1445.783132530121
2.266,0.04049999999999998,1481.4814814814822
2.308,0.03950000000000009,1518.9873417721485
2.348,0.039000000000000035,1538.4615384615372
2.388,0.03849999999999998,1558.4415584415592
2.428,0.038000000000000034,1578.9473684210511
2.466,0.03799999999999992,1578.947368421056
2.504,0.03749999999999998,1600.000000000001
2.542,0.03700000000000003,1621.62162162162
2.58,0.03649999999999998,1643.8356164383572
2.618,0.035499999999999976,1690.1408450704237
2.654,0.03500000000000003,1714.2857142857129
2.69,0.03500000000000003,1714.2857142857129
2.726,0.03400000000000003,1764.7058823529396
2.76,0.03400000000000003,1764.7058823529396
2.794,0.033499999999999974,1791.0447761194043
2.83,0.03249999999999997,1846.1538461538478
2.862,0.03249999999999997,1846.1538461538478
2.896,0.03200000000000003,1874.9999999999984
2.928,0.03149999999999997,1904.7619047619064
2.96,0.031000000000000028,1935.4838709677401
2.992,0.03049999999999997,1967.2131147541002
3.024,0.030000000000000027,1999.9999999999982
3.054,0.030000000000000027,1999.9999999999982
3.084,0.030000000000000027,1999.9999999999982
3.114,0.030000000000000027,1999.9999999999982
3.144,0.02949999999999997,2033.8983050847478
3.174,0.02949999999999997,2033.8983050847478
3.204,0.028999999999999915,2068.9655172413854
3.234,0.02849999999999997,2105.263157894739
3.262,0.02849999999999997,2105.263157894739
3.292,0.028000000000000025,2142.857142857141
3.32,0.028000000000000025,2142.857142857141
3.348,0.028000000000000025,2142.857142857141
3.376,0.028000000000000025,2142.857142857141
3.404,0.028000000000000025,2142.857142857141
3.432,0.02749999999999997,2181.8181818181843
3.46,0.027000000000000024,2222.2222222222204
3.488,0.027000000000000024,2222.2222222222204
3.516,0.026499999999999968,2264.150943396229
3.542,0.026000000000000023,2307.692307692306
3.568,0.026000000000000023,2307.692307692306
3.596,0.025499999999999967,2352.9411764705915
3.622,0.025000000000000022,2399.9999999999977
3.646,0.025500000000000078,2352.941176470581
3.672,0.02499999999999991,2400.0000000000086
3.698,0.025000000000000022,2399.9999999999977
3.722,0.025000000000000022,2399.9999999999977
3.748,0.024499999999999966,2448.979591836738
3.772,0.024500000000000077,2448.979591836727
3.798,0.02400000000000002,2499.9999999999977
3.822,0.023499999999999965,2553.191489361706
3.846,0.023499999999999965,2553.191489361706
3.87,0.023499999999999965,2553.191489361706
3.894,0.02300000000000002,2608.6956521739107
3.916,0.023499999999999965,2553.191489361706
3.94,0.02300000000000002,2608.6956521739107
3.964,0.022500000000000075,2666.666666666658
3.986,0.02300000000000002,2608.6956521739107
4.01,0.022499999999999964,2666.666666666671
4.032,0.022499999999999964,2666.666666666671
4.054,0.022499999999999964,2666.666666666671
4.078,0.02200000000000002,2727.2727272727248
4.1,0.021500000000000075,2790.697674418595
4.122,0.021500000000000075,2790.697674418595
4.144,0.021500000000000075,2790.697674418595
4.166,0.020999999999999908,2857.1428571428696
4.186,0.021500000000000075,2790.697674418595
4.208,0.020999999999999908,2857.1428571428696
4.23,0.020999999999999908,2857.1428571428696
4.25,0.020999999999999908,2857.1428571428696
4.272,0.020499999999999963,2926.829268292688
4.292,0.02100000000000013,2857.1428571428396
4.314,0.020499999999999963,2926.829268292688
4.334,0.020500000000000185,2926.8292682926567
4.354,0.020499999999999963,2926.829268292688
4.376,0.020000000000000018,2999.9999999999973
4.396,0.020000000000000018,2999.9999999999973
4.416,0.020000000000000018,2999.9999999999973
4.436,0.020000000000000018,2999.9999999999973
4.456,0.019999999999999796,3000.0000000000305
4.476,0.020000000000000018,2999.9999999999973
4.496,0.019999999999999796,3000.0000000000305
4.516,0.020000000000000018,2999.9999999999973
4.536,0.020000000000000018,2999.9999999999973
4.556,0.020000000000000018,2999.9999999999973
4.576,0.019500000000000073,3076.9230769230653
4.596,0.019500000000000073,3076.9230769230653
4.616,0.019500000000000073,3076.9230769230653
4.636,0.018999999999999906,3157.894736842121
4.654,0.019500000000000073,3076.9230769230653
4.674,0.01949999999999985,3076.9230769231003
4.694,0.018999999999999906,3157.894736842121
4.712,0.019500000000000073,3076.9230769230653
4.732,0.01949999999999985,3076.9230769231003
4.752,0.019000000000000128,3157.894736842084
4.77,0.019500000000000073,3076.9230769230653
4.79,0.018999999999999906,3157.894736842121
