second, t_delta, rpm
0.21, 0.020000000000000018, 2999.9999999999973
0.23, 0.05000000000000002, 1199.9999999999995
0.28, 0.019999999999999962, 3000.0000000000055
0.3, 0.020000000000000018, 2999.9999999999973
0.32, 0.04999999999999999, 1200.0000000000002
0.37, 0.020000000000000018, 2999.9999999999973
0.39, 0.04999999999999999, 1200.0000000000002
0.44, 0.020000000000000018, 2999.9999999999973
0.46, 0.04999999999999999, 1200.0000000000002
0.51, 0.020000000000000018, 2999.9999999999973
0.53, 0.04999999999999993, 1200.0000000000016
0.58, 0.020000000000000018, 2999.9999999999973
0.6, 0.030000000000000027, 1999.9999999999982
0.63, 0.020000000000000018, 2999.9999999999973
0.65, 0.04999999999999993, 1200.0000000000016
0.7, 0.020000000000000018, 2999.9999999999973
0.72, 0.030000000000000027, 1999.9999999999982
0.75, 0.020000000000000018, 2999.9999999999973
0.77, 0.04999999999999993, 1200.0000000000016
0.82, 0.020000000000000018, 2999.9999999999973
0.84, 0.030000000000000027, 1999.9999999999982
0.87, 0.020000000000000018, 2999.9999999999973
0.89, 0.030000000000000027, 1999.9999999999982
0.92, 0.019999999999999907, 3000.000000000014
0.94, 0.030000000000000027, 1999.9999999999982
0.97, 0.020000000000000018, 2999.9999999999973
0.99, 0.030000000000000027, 1999.9999999999982
1.02, 0.020000000000000018, 2999.9999999999973
1.04, 0.050000000000000044, 1199.9999999999989
1.09, 0.030000000000000027, 1999.9999999999982
1.12, 0.019999999999999796, 3000.0000000000305
1.14, 0.030000000000000027, 1999.9999999999982
1.17, 0.020000000000000018, 2999.9999999999973
1.19, 0.030000000000000027, 1999.9999999999982
1.22, 0.020000000000000018, 2999.9999999999973
1.24, 0.030000000000000027, 1999.9999999999982
1.27, 0.020000000000000018, 2999.9999999999973
1.29, 0.030000000000000027, 1999.9999999999982
1.32, 0.050000000000000044, 1199.9999999999989
1.37, 0.029999999999999805, 2000.000000000013
1.4, 0.020000000000000018, 2999.9999999999973
1.42, 0.030000000000000027, 1999.9999999999982
1.45, 0.050000000000000044, 1199.9999999999989
1.5, 0.030000000000000027, 1999.9999999999982
1.53, 0.020000000000000018, 2999.9999999999973
1.55, 0.030000000000000027, 1999.9999999999982
1.58, 0.04999999999999982, 1200.0000000000043
1.63, 0.030000000000000027, 1999.9999999999982
1.66, 0.020000000000000018, 2999.9999999999973
1.68, 0.030000000000000027, 1999.9999999999982
1.71, 0.050000000000000044, 1199.9999999999989
1.76, 0.030000000000000027, 1999.9999999999982
1.79, 0.020000000000000018, 2999.9999999999973
1.81, 0.030000000000000027, 1999.9999999999982
1.84, 0.020000000000000018, 2999.9999999999973
1.86, 0.029999999999999805, 2000.000000000013
1.89, 0.030000000000000027, 1999.9999999999982
1.92, 0.020000000000000018, 2999.9999999999973
